n,w,mode,iter_idx,elapsed_ms,vol_first,vol_last,vol_norm,rss_mb
500,104,full,0,32.14680007658899,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,1,33.019499969668686,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,2,32.67960005905479,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,3,32.01139997690916,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,4,31.083000008948147,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,5,30.833299970254302,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,6,32.01989992521703,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,7,31.185699976049364,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,8,31.464400002732873,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,full,9,31.081900000572205,9.256271362304688,9.269307136535645,94.3998031616211,0.0
500,104,approx-k=30,0,0.030499999411404133,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,1,0.02789997961372137,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,2,0.024900073185563087,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,3,0.021900050342082977,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,4,0.02119992859661579,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,5,0.02159993164241314,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,6,0.022499938495457172,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,7,0.020000035874545574,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,8,0.018999911844730377,9.256271751371491,9.256271751371491,94.3958205667218,0.0
500,104,approx-k=30,9,0.029999995604157448,9.256271751371491,9.256271751371491,94.3958205667218,0.0
1000,104,full,0,134.58329997956753,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,1,137.4725999776274,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,2,135.30080008786172,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,3,136.66019996162504,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,4,134.62889997754246,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,5,134.1453999048099,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,6,136.1535000614822,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,7,135.34030003938824,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,8,135.2507999399677,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,full,9,135.01550001092255,7.930357933044434,7.934309482574463,80.97907257080078,0.0
1000,104,approx-k=30,0,0.047200010158121586,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,1,0.0377000542357564,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,2,0.03600004129111767,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,3,0.03190001007169485,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,4,0.027399975806474686,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,5,0.024699955247342587,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,6,0.03870006185024977,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,7,0.04810001701116562,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,8,0.034100026823580265,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
1000,104,approx-k=30,9,0.03450002986937761,7.9303575801075405,7.9303575801075405,80.87409610147361,0.0
2000,104,full,0,801.3803000794724,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,1,795.2973000938073,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,2,807.0850999793038,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,3,796.3329000631347,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,4,809.6986999735236,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,5,838.795299991034,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,6,815.0207999860868,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,7,799.8381999786943,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,8,809.5773999812081,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,full,9,794.8408999945968,10.647805213928223,10.538804054260254,108.83853149414062,0.0
2000,104,approx-k=30,0,0.06870005745440722,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,1,0.05859998054802418,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,2,0.07609999738633633,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,3,0.06919994484633207,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,4,0.06330001633614302,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,5,0.0467000063508749,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,6,0.05349994171410799,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,7,0.04569999873638153,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,8,0.049400026910007,10.647805324604981,10.647805324604981,108.58673425419592,0.0
2000,104,approx-k=30,9,0.04409998655319214,10.647805324604981,10.647805324604981,108.58673425419592,0.0
4000,104,full,0,21587.5080000842,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,1,19929.913499974646,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,2,18849.827000056393,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,3,25111.36430001352,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,4,18637.934900005348,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,5,20943.319399957545,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,6,13695.069500012323,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,7,13603.151399991475,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,8,16291.520700091496,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,full,9,15779.83180002775,14.18359088897705,14.126741409301758,145.00306701660156,0.0
4000,104,approx-k=30,0,0.08279993198812008,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,1,0.06719992961734533,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,2,0.04109996370971203,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,3,0.040199956856667995,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,4,0.039100064896047115,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,5,0.03869994543492794,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,6,0.036800047382712364,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,7,0.06860005669295788,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,8,0.07149996235966682,14.183590986944427,14.183590986944427,144.64481443049675,0.0
4000,104,approx-k=30,9,0.06729993037879467,14.183590986944427,14.183590986944427,144.64481443049675,0.0
